id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,batting_first_team,chasing_team,batting_first_won,chasing_won,toss_winner_won
517,2014,Bangalore,2014-01-06,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,3,MK Pandey,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,,Kolkata Knight Riders,Punjab Kings,1,0,1
518,2015,Kolkata,2015-08-04,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,M Morkel,Eden Gardens,S Ravi,C Shamshuddin,,Kolkata Knight Riders,Mumbai Indians,1,0,1
519,2015,Chennai,2015-09-04,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Chennai Super Kings,1,0,A Nehra,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,,Delhi Capitals,Chennai Super Kings,0,1,0
520,2015,Pune,2015-10-04,Rajasthan Royals,Punjab Kings,Punjab Kings,field,normal,0,Rajasthan Royals,26,0,JP Faulkner,Maharashtra Cricket Association Stadium,SD Fry,CB Gaffaney,,Punjab Kings,Rajasthan Royals,0,1,0
521,2015,Chennai,2015-11-04,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,0,Chennai Super Kings,45,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,,Chennai Super Kings,Sunrisers Hyderabad,1,0,1
522,2015,Kolkata,2015-11-04,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,3,CH Gayle,Eden Gardens,S Ravi,C Shamshuddin,,Royal Challengers Bangalore,Kolkata Knight Riders,1,0,1
523,2015,Delhi,2015-12-04,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,DJ Hooda,Feroz Shah Kotla,SD Fry,CB Gaffaney,,Rajasthan Royals,Delhi Capitals,1,0,1
524,2015,Mumbai,2015-12-04,Punjab Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Punjab Kings,18,0,GJ Bailey,Wankhede Stadium,AK Chaudhary,K Srinivasan,,Mumbai Indians,Punjab Kings,0,1,0
525,2015,Bangalore,,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,DA Warner,M Chinnaswamy Stadium,RM Deshpande,RK Illingworth,,Sunrisers Hyderabad,Royal Challengers Bangalore,1,0,1
526,2015,Ahmedabad,,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Rajasthan Royals,0,7,SPD Smith,"Sardar Patel Stadium, Motera",AK Chaudhary,SD Fry,,Mumbai Indians,Rajasthan Royals,0,1,0
527,2015,Kolkata,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,AD Russell,Eden Gardens,AK Chaudhary,M Erasmus,,Kolkata Knight Riders,Chennai Super Kings,1,0,1
528,2015,Pune,,Punjab Kings,Delhi Capitals,Punjab Kings,bat,normal,0,Delhi Capitals,0,5,MA Agarwal,Maharashtra Cricket Association Stadium,CB Gaffaney,K Srinath,,Punjab Kings,Delhi Capitals,0,1,0
529,2015,Visakhapatnam,,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,,Rajasthan Royals,Sunrisers Hyderabad,1,0,1
530,2015,Mumbai,,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,0,6,A Nehra,Wankhede Stadium,AK Chaudhary,M Erasmus,,Mumbai Indians,Chennai Super Kings,0,1,0
